,index,행정동코드,자치구,행정동,충전접근성,충전수요,충전접근성순위_R,충전수요순위,종합입지순위
0,7,1168060000,강남구,대치1동,33.90278009370291,79.53317401663648,8,1,1
1,9,1168063000,강남구,대치4동,34.47748375440561,28.835170260255133,10,5,2
2,14,1165065100,서초구,양재1동,36.25986986120324,36.35438350452478,15,2,3
3,22,1153052000,구로구,구로1동,37.7875429151394,26.489166276118308,23,8,4
4,3,1174056000,강동구,고덕2동,30.198335719803165,9.990739216872871,4,45,5
5,5,1135063000,노원구,상계1동,32.34642146211663,9.213527237099672,6,55,6
6,23,1144056500,마포구,공덕동,37.9317304692217,10.153397712097886,24,41,7
7,49,1144066000,마포구,서교동,39.625509179391486,14.17298196726933,50,19,8
8,38,1159063000,동작구,사당2동,39.047683572811124,11.055731901163202,39,31,9
9,42,1150064000,강서구,방화2동,39.22962342629679,10.77029700955212,43,35,10
10,0,1150062000,강서구,공항동,20.94004472075232,7.803006858975074,1,88,11
11,61,1168067000,강남구,개포2동,40.52801397818658,10.676648933756827,62,36,12
12,8,1171067000,송파구,잠실2동,34.07960578490065,7.634557020168371,9,90,13
13,84,1144074000,마포구,상암동,41.12423158173605,14.240734034531647,85,17,14
14,51,1171068000,송파구,잠실3동,39.81068813100187,9.072312876802084,52,60,15
15,90,1168059000,강남구,삼성2동,41.234159607469905,11.675814514992034,91,27,16
16,21,1153053000,구로구,구로2동,37.53156193260539,7.491989237808198,22,97,17
17,81,1141056500,서대문구,충현동,41.05952963222113,10.085829500636502,82,43,18
18,13,1174055000,강동구,고덕1동,36.16883316285595,6.749450060098836,14,119,19
19,28,1135060000,노원구,공릉2동,38.11895011691655,6.965934169618023,29,110,20
20,65,1117063000,용산구,이촌1동,40.59822134879178,8.211122582569933,66,73,21
21,68,1150053500,강서구,등촌3동,40.62240242171979,8.144589648947573,69,76,22
22,100,1123065000,동대문구,장안1동,41.63642174299596,9.451447280107613,101,53,23
23,55,1144065500,마포구,서강동,40.02249766425342,7.286364628446843,56,101,24
24,52,1171057000,송파구,오금동,39.88582571369372,7.248950306112423,53,104,25
